epn_pov,epn_bipoc,epn_carless,epn_overcrowd,fips_str,Row_Total,risk_score
0.11131208784592735,0.28972341262975754,0.389424503930083,0.0,42003010302,0.7904600044057679,0.24152944579065133
0.18849101341938312,0.3227753212070507,0.5466343842007136,0.0,42003020100,1.0579007188271476,0.3232474418638507
0.11165742966283382,0.2020228631145243,0.10650322216785131,0.0,42003020300,0.4201835149452094,0.12838940734436954
0.4955832567639495,0.767560492700318,0.501936577235818,0.29545454545454547,42003030500,2.060534872154631,0.6296078776028039
0.5264932789270584,0.48760650308939024,0.49659475551568044,0.1818181818181818,42003040200,1.6925127193503111,0.5171566642459284
0.305585036310182,0.2665766647922722,0.44324324324324327,0.17045454545454544,42003040400,1.1858594898002428,0.3623459552167409
0.878184474575223,0.17233199107967656,0.5148318584070797,0.0,42003040500,1.5653483240619792,0.4783008767967159
1.0,0.1592622943800933,0.47883339006126613,0.5,42003040600,2.1380956844413594,0.6533070146904154
0.7844775568297441,0.32858445675358816,0.38173415344480555,0.13636363636363635,42003040900,1.6311598033917742,0.4984099399252644
0.521242610249418,1.0,0.682554981161833,0.0,42003050100,2.2037975914112513,0.6733825973756602
0.4073971191110912,0.8411408529510234,0.41760551395507145,0.0,42003050600,1.666143486017186,0.5090993985052513
1.0,1.0,1.0,0.2727272727272727,42003050900,3.2727272727272725,1.0
0.4696763682412339,0.657250470374388,0.6446155614297208,0.17045454545454544,42003051000,1.9419969454998882,0.5933879555694104
1.0,0.8294252438729134,0.6282961801277025,0.0,42003051100,2.457721424000616,0.7509704351112995
0.21728394065273385,0.17968195757708522,0.13135431836003136,0.0,42003060300,0.5283202165898504,0.16143117729134318
0.20374785684891322,0.14960918943558418,0.20958391302477017,0.42045454545454547,42003060500,0.983395504763813,0.3004819597889429
0.30671029818942996,0.3293161496199791,0.38770010937655364,0.25,42003070300,1.2737265571859626,0.38919422580682195
0.2871853287002502,0.29274306146249723,0.2350680306416593,0.0,42003070500,0.8149964208044067,0.24902668413467985
0.2509781377842423,0.1936701858329371,0.2608437202950745,0.2727272727272727,42003070600,0.9782193166395265,0.2989003467509665
0.18926732123410403,0.42466232682210725,0.19051939359814724,0.8636363636363635,42003070800,1.6680854052907221,0.5096927627277207
0.3977629104714228,0.4121959733439028,0.3845926649715193,0.4090909090909091,42003070900,1.603642457877754,0.49000186212931374
0.3248283051227131,0.12920280037636545,0.2894041648065965,0.0,42003080200,0.743435270305675,0.22716077703784515
0.3782683032298839,0.33135204496082854,0.3521046556367834,0.20454545454545456,42003080400,1.2662704583729503,0.38691597339173484
0.19031835471092104,0.1708489491312879,0.2686754918452424,0.0,42003080600,0.6298427956874514,0.1924519653489435
0.2292093682911903,0.40539195738641054,0.4823357705807389,0.2727272727272727,42003080700,1.3896643689856125,0.42461966830115944
0.17827395311537023,0.15604131668597154,0.28591545899544263,0.0,42003080900,0.6202307287967843,0.18951494491012855
0.22124031574215133,0.21612363459714826,0.234927102565735,0.0,42003090100,0.6722910529050345,0.20542226616542725
0.21731094096450898,0.11471911995633115,0.3037662070384853,0.0,42003090200,0.6357962679593254,0.19427108187646056
0.22043843705543548,0.10326632975809043,0.2740816196600242,0.0,42003090300,0.5977863864735501,0.18265695142247365
0.24232196914408563,0.6974430633162784,0.277602898378571,0.0,42003100500,1.2173679308389351,0.37197353442300796
0.3291834093614289,0.14719561007854565,0.13314462572126226,0.11363636363636363,42003101100,0.7231600087976005,0.22096555824371125
0.10181061455281988,0.14042400488241677,0.21037062998335232,0.0,42003101400,0.452605249418589,0.13829604843345775
0.0,0.1723353765626429,0.0,0.0,42003101800,0.1723353765626429,0.05265803172747422
0.42239769427123725,0.79564733649102,0.19864322433745688,0.0,42003101900,1.4166882550997142,0.43287696683602384
0.0,0.32899520198467436,0.1084751364397382,0.0,42003110200,0.4374703384244126,0.1336714922963483
