,fips_str,ep_pov,ep_bipoc,ep_carless,ep_overcrowd
62559,42003010302,0.08810192183113798,0.29108183977542645,0.2981366459627329,0.0
62560,42003020100,0.1491879350348028,0.3236658932714617,0.4184938036224976,0.005
62561,42003020300,0.08837525492861999,0.20462270564242013,0.08153701968134958,0.003
62562,42003030500,0.39224704336399474,0.7621550591327201,0.3842739378566899,0.026000000000000002
62563,42003040200,0.41671188279978294,0.4861638632664135,0.38018433179723504,0.016
62564,42003040400,0.24186617556783302,0.2682627378759975,0.33933933933933935,0.015
62565,42003040500,0.6950704225352112,0.17535211267605633,0.39414634146341465,0.0
62566,42003040600,0.7914856646394439,0.16246741963509992,0.36658653846153844,0.044000000000000004
62567,42003040900,0.6209027404621171,0.3293927995701236,0.29224904701397714,0.012
62568,42003050100,0.4125560538116592,0.9545163356822549,0.5225522552255225,0.0
62569,42003050600,0.3224489795918367,0.8346938775510204,0.31971153846153844,0.0
62570,42003050900,0.7304347826086957,0.991304347826087,0.7655826558265583,0.024
62571,42003051000,0.3717421124828532,0.6534064929126657,0.4935064935064935,0.015
62572,42003051100,0.7882096069868996,0.8231441048034934,0.4810126582278481,0.0
62573,42003060300,0.17197712418300654,0.18259803921568626,0.10056258790436005,0.006
62574,42003060500,0.16126350789692437,0.15295095594347466,0.16045380875202594,0.037000000000000005
62575,42003070300,0.242756804214223,0.3301141352063213,0.29681647940074907,0.022000000000000002
62576,42003070500,0.2273030707610147,0.2940587449933244,0.1799640071985603,0.0
62577,42003070600,0.1986455981941309,0.1963882618510158,0.19969742813918306,0.024
62578,42003070800,0.14980237154150197,0.4241106719367589,0.14585834333733494,0.076
62579,42003070900,0.3148236415633937,0.41182078169685415,0.2944374738603095,0.036000000000000004
62580,42003080200,0.2570969469737547,0.1328334226031066,0.2215628090999011,0.0
62581,42003080400,0.2993939393939394,0.3321212121212121,0.26956521739130435,0.018000000000000002
62582,42003080600,0.1506342494714588,0.17389006342494714,0.2056932966023875,0.0
62583,42003080700,0.18141592920353983,0.4051130776794494,0.3692679002413516,0.024
62584,42003080900,0.14110127826941987,0.1592920353982301,0.21889191643960038,0.0
62585,42003090100,0.17510853835021709,0.21852387843704776,0.17985611510791366,0.0
62586,42003090200,0.17199849454271735,0.11855476100865638,0.23255813953488372,0.0
62587,42003090300,0.17447386286490157,0.10726408689748812,0.20983213429256595,0.0
62588,42003100500,0.19179436480474543,0.6930301532377657,0.21252796420581654,0.0
62589,42003101100,0.26054394954670873,0.15057154119038235,0.10193321616871705,0.01
62590,42003101400,0.08058164192668889,0.14389578915480158,0.16105610561056105,0.0
62591,42003101800,0.07464454976303317,0.17535545023696683,0.05657492354740061,0.0
62592,42003101900,0.33432171979243885,0.7898443291326909,0.15207780725022105,0.006
62593,42003110200,0.05648741983226443,0.3297977306364085,0.08304668304668304,0.0
62594,42003110600,0.09036658141517477,0.17689684569479966,0.1191806331471136,0.0
62595,42003111300,0.16481149012567325,0.3579892280071813,0.26869158878504673,0.022000000000000002
62596,42003111400,0.3847926267281106,0.5844854070660522,0.29354838709677417,0.01
62597,42003111500,0.4154275092936803,0.6833952912019826,0.36048780487804877,0.040999999999999995
62598,42003120300,0.44959388437649306,0.9842331581462016,0.31754874651810583,0.035
62599,42003120900,0.5044472681067345,0.8570520965692503,0.4312080536912752,0.028999999999999998
62600,42003130200,0.4608096468561585,0.8673557278208441,0.16477272727272727,0.0
62601,42003130600,0.5135520684736091,0.9118402282453638,0.41440677966101697,0.0
62602,42003130700,0.4912959381044487,0.9617988394584139,0.43473994111874387,0.0
62603,42003130800,0.6260909508497933,0.9416628387689481,0.4093816631130064,0.0
62604,42003140100,0.08793723439032364,0.34946060804184376,0.15834932821497122,0.001
62605,42003140200,0.21191247974068073,0.2978119935170178,0.27586206896551724,0.0
62606,42003140300,0.12863436123348018,0.23700440528634362,0.10296296296296296,0.0
62607,42003140400,0.09538598047914817,0.15794143744454303,0.01899441340782123,0.0
62608,42003140500,0.11518046709129512,0.4145435244161359,0.10724365004703669,0.0
62609,42003140800,0.10876194348444806,0.2484244765196178,0.18114797261716692,0.0
62610,42003141100,0.08310055865921788,0.10614525139664804,0.010050251256281407,0.0
62611,42003141200,0.07865719186473903,0.1881891693212448,0.0664850136239782,0.0
62612,42003141300,0.3161993769470405,0.28991433021806856,0.29941730165844915,0.033
62613,42003141400,0.14928957374424653,0.29897938763257953,0.1945227547321788,0.016
62614,42003151600,0.1620618556701031,0.16783505154639175,0.12648221343873517,0.0
62615,42003151700,0.15186013417361252,0.23033136816426103,0.18890612878200155,0.0
62616,42003160800,0.22450728363324765,0.15681233933161953,0.1642628205128205,0.0
62617,42003160900,0.210414774447472,0.10505600968816228,0.19547325102880658,0.03
62618,42003161000,0.32012405237767055,0.4631288766368022,0.22393162393162394,0.0
62619,42003170200,0.34106130860381245,0.2511591962905719,0.0936007640878701,0.0
62620,42003170600,0.3184049079754601,0.21533742331288344,0.2111368909512761,0.0
62621,42003180300,0.3555442522889115,0.45523906408952186,0.2958762886597938,0.0
62622,42003180700,0.33731739707835323,0.3758300132802125,0.13444553483807656,0.0
62623,42003190300,0.10559330893883952,0.05697856769472034,0.04691572545612511,0.013000000000000001
62624,42003191100,0.15289982425307558,0.07161687170474516,0.08566978193146417,0.005
62625,42003191400,0.15397282832441334,0.15973651708522024,0.23421588594704684,0.0
62626,42003191500,0.16140350877192983,0.10275689223057644,0.09322033898305085,0.025
62627,42003191600,0.1874386653581943,0.27453385672227676,0.10647639956092206,0.0
62628,42003191700,0.11934636708491392,0.17332944266121972,0.0639614855570839,0.06
62629,42003191800,0.14140227183705445,0.17645906776341558,0.1384180790960452,0.01
62630,42003191900,0.17600741083835109,0.063455303381195,0.09578544061302682,0.0
62631,42003192000,0.19630355642677122,0.2433492019042285,0.16485753052917232,0.023
62632,42003202200,0.17660910518053374,0.42660910518053374,0.1528127623845508,0.027000000000000003
62633,42003202300,0.1275496328528692,0.3075877073701387,0.041179744017807454,0.006999999999999999
62634,42003241300,0.16657027183342973,0.25303643724696356,0.1943342776203966,0.006
62635,42003250900,0.443217665615142,0.5615141955835962,0.3639344262295082,0.023
62636,42003260200,0.3239501615136133,0.3710198431010614,0.14922279792746113,0.0
62637,42003260700,0.16563658838071693,0.36711990111248455,0.1143740340030912,0.051
62638,42003261300,0.5977970627503337,0.6722296395193591,0.33665338645418325,0.08800000000000001
62639,42003261400,0.4549218031278749,0.5919963201471942,0.15151515151515152,0.006
62640,42003261500,0.4398717263495457,0.7306253340459647,0.29896907216494845,0.0
62641,42003262000,0.35117599351175993,0.3495539334955393,0.25746924428822493,0.0
62642,42003270100,0.1118340788938593,0.19357462383082555,0.1409235668789809,0.002
62643,42003270300,0.3958427474017171,0.5671034794396747,0.36509635974304067,0.0
62644,42003270800,0.15831578947368422,0.29010526315789475,0.11805555555555555,0.017
62645,42003271600,0.34037122969837585,0.5617169373549884,0.3260109835247129,0.0
62646,42003281400,0.4370700121408337,0.4597329016592473,0.18231540565177756,0.0
62647,42003281500,0.2864864864864865,0.4222972972972973,0.16129032258064516,0.0
62648,42003290100,0.2753938077131993,0.24769147202607278,0.2389853137516689,0.027000000000000003
62649,42003290200,0.35754451733833176,0.3739456419868791,0.3106694560669456,0.036000000000000004
62650,42003290400,0.19459186252211272,0.2693960070760677,0.19926393270241852,0.0
62651,42003300100,0.44030563514804205,0.5950334288443171,0.3074154067674586,0.061
62652,42003310200,0.1784841075794621,0.06723716381418093,0.07287157287157287,0.0
62653,42003320400,0.19230769230769232,0.15926327193932827,0.07632743362831858,0.0
62654,42003320600,0.1442652329749104,0.0739247311827957,0.04149377593360996,0.03
62655,42003320700,0.14840425531914894,0.18138297872340425,0.08033240997229917,0.037000000000000005
62656,42003401100,0.14160485502360082,0.04540346145201169,0.04096742349457058,0.0
62657,42003401200,0.30476529160739685,0.20092460881934565,0.19264705882352942,0.0
62658,42003401300,0.18101933216168717,0.06959578207381371,0.04102096627164995,0.0
62659,42003402000,0.17237087741132545,0.07996266334785314,0.18504190844616378,0.015
62660,42003403500,0.3283271719038817,0.11067467652495379,0.22394881170018283,0.0
62661,42003404000,0.19123783031988872,0.06815020862308763,0.06542056074766354,0.003
62662,42003405000,0.10009099181073704,0.00545950864422202,0.039045553145336226,0.006999999999999999
62663,42003406000,0.13324595893403232,0.037570991699432066,0.019895287958115182,0.013000000000000001
62664,42003407001,0.11807353702744691,0.04056620058691524,0.02886178861788618,0.0
62665,42003407002,0.12513551184760724,0.03267771410871922,0.016630513376717282,0.006
62666,42003408001,0.10930679238693906,0.07455910598917409,0.0964824120603015,0.006999999999999999
62667,42003408002,0.07880567792462066,0.0930004894762604,0.013114754098360656,0.0
62668,42003409001,0.056498388829215894,0.13705692803437164,0.018557955582598113,0.0
62669,42003409002,0.0,0.05740125507567368,0.0,0.0
62670,42003410000,0.026720647773279354,0.051821862348178135,0.027139874739039668,0.0
62671,42003411001,0.015170051382432102,0.09028627355028138,0.0,0.011000000000000001
62672,42003411002,0.05437912925631035,0.25732678299169914,0.0,0.028999999999999998
62673,42003412002,0.030798640611724725,0.1951996601529312,0.0034782608695652175,0.006
62674,42003412003,0.07597065117701009,0.19076734943442372,0.02832343535861124,0.008
62675,42003412004,0.015536374845869297,0.30579531442663377,0.1128808864265928,0.009000000000000001
62676,42003413100,0.10212260650141013,0.20914353569838207,0.04323094425483504,0.0
62677,42003413201,0.05997552019583843,0.10820073439412485,0.010342598577892695,0.038
62678,42003413202,0.03424408014571949,0.0692167577413479,0.03462157809983897,0.0
62679,42003413300,0.05934065934065934,0.047032967032967034,0.042058660763696736,0.003
62680,42003413400,0.056731202161188654,0.09905447996398019,0.07845503922751962,0.006
62681,42003413500,0.15191161506032855,0.19523186509667104,0.023076923076923078,0.022000000000000002
62682,42003414101,0.04713002017238217,0.032459196772418854,0.007708119218910586,0.0
62683,42003414102,0.04918740112181792,0.11433913418668201,0.059154929577464786,0.01
62684,42003414200,0.0788152610441767,0.07714190093708166,0.007476635514018692,0.006999999999999999
62685,42003415001,0.08783068783068783,0.13883597883597884,0.031210986267166042,0.0
62686,42003415002,0.09294117647058824,0.12,0.01556420233463035,0.0
62687,42003416000,0.18508474576271186,0.05491525423728814,0.04838709677419355,0.0
