,pop,fips_str
62849,1620,42003501000
62850,5771,42003503002
62851,4860,42003504100
62852,2074,42003507000
62853,1834,42003508000
62854,5087,42003509400
62855,1866,42003510000
62856,2077,42003512000
62857,2243,42003513000
62858,1814,42003513800
62859,1837,42003514000
62860,2911,42003515100
62861,2018,42003515200
62862,1488,42003515300
62863,2171,42003515401
62864,1416,42003516100
62865,1688,42003516200
62866,1625,42003517000
62867,3129,42003518001
62868,3127,42003519000
62869,3107,42003520001
62870,3196,42003520002
62871,4420,42003521100
62872,4194,42003521200
62873,4311,42003521301
62874,4210,42003521302
62875,3230,42003521401
62876,4008,42003521402
62877,4157,42003521500
62878,3084,42003522000
62879,3829,42003523100
62880,4040,42003523200
62881,3926,42003523300
62882,5016,42003523400
62883,4090,42003523501
62884,1446,42003523502
62885,4912,42003523600
62886,3812,42003523701
62887,5198,42003523702
62888,4604,42003523800
62889,2629,42003524000
62890,1977,42003525100
62891,2565,42003525200
62892,2192,42003525300
62893,7547,42003526101
62894,2433,42003526102
62895,3633,42003526201
62896,4591,42003526202
62897,3839,42003526301
62898,4989,42003526302
62899,1807,42003550900
62900,3172,42003551200
62901,2303,42003551300
62902,1395,42003551900
62903,1801,42003552000
62904,1383,42003552100
62905,890,42003552200
62906,1586,42003552300
62907,3412,42003552400
62908,1554,42003560400
62909,2212,42003560500
62910,3566,42003561400
62911,2737,42003561500
62912,2007,42003561900
62913,2652,42003562000
62914,2966,42003562300
62915,2955,42003562400
62916,2774,42003562500
62917,2712,42003562600
62918,1867,42003562700
62919,1560,42003562800
62920,1508,42003562901
62921,3361,42003563000
62922,3491,42003563100
62923,266,42003563201
62924,1924,42003563202
62925,1459,42003563300
62926,3813,42003563800
62927,3917,42003563900
62928,7292,42003564000
62929,969,42003564100
62930,2171,42003564200
62931,5694,42003564400
62932,3079,42003564500
62933,2320,42003564700
62934,1951,42003564800
62935,2953,42003565100
62936,3011,42003565200
62937,1223,42003565300
62938,5498,42003982200
